Label,Message
ham,"Hey, are you free today?"
spam,"Congratulations! You've won a free prize!"
ham,"Don't forget the meeting tomorrow."
spam,"Claim your $1000 gift card now!"
ham,"Can we have lunch today?"
spam,"Win a brand new phone today!"
ham,"See you at the office at 9am"
spam,"You have been selected for a free vacation!"
ham,"Please send me the report by evening"
spam,"Click here to claim your free reward now!"
ham,"Are you coming to the party tonight?"
spam,"Earn easy money from home, apply now!"
ham,"Let's catch up over coffee this weekend"
spam,"FREE entry! Win exciting prizes today!"
ham,"Reminder: your appointment is at 3pm"
spam,"Urgent! Your account needs verification now!"